cliente_id,nome,sobrenome,data_nascimento,endereco,telefone,email
1,Maria,Rodrigues,1974-11-10,"Rua A, 123",+55 21 1886-1049,maria.rodrigues@exemplo.com
2,Beatriz,Lima,1971-08-28,"Avenida B, 456",+55 21 3878-4285,beatriz.lima@exemplo.com
3,Maria,Gomes,1982-02-16,"Avenida B, 456",+55 21 8466-7826,maria.gomes@exemplo.com
4,Lucas,Pereira,1988-12-14,"Rua A, 123",+55 21 2141-8407,lucas.pereira@exemplo.com
5,João,Souza,1997-05-12,"Travessa C, 789",+55 21 7391-6525,joão.souza@exemplo.com
6,Pedro,Lima,1996-12-12,"Rua A, 123",+55 21 7820-5020,pedro.lima@exemplo.com
7,Lucas,Silva,1991-02-23,"Rua A, 123",+55 21 1718-6356,lucas.silva@exemplo.com
8,João,Almeida,1979-05-30,"Praça D, 101",+55 21 2456-9594,joão.almeida@exemplo.com
9,Pedro,Nascimento,2000-05-17,"Avenida B, 456",+55 21 2674-1073,pedro.nascimento@exemplo.com
10,Gabriel,Pereira,1992-07-20,"Praça D, 101",+55 21 6678-4726,gabriel.pereira@exemplo.com
11,Ana,Pereira,1973-04-25,"Travessa C, 789",+55 21 1920-3970,ana.pereira@exemplo.com
12,Beatriz,Gomes,1974-07-27,"Rua A, 123",+55 21 7998-4359,beatriz.gomes@exemplo.com
13,Lucas,Gomes,1966-10-09,"Rua A, 123",+55 21 7841-1437,lucas.gomes@exemplo.com
14,Ana,Souza,1986-04-30,"Praça D, 101",+55 21 2038-9802,ana.souza@exemplo.com
15,João,Silva,1972-04-07,"Praça D, 101",+55 21 6641-4057,joão.silva@exemplo.com
16,Beatriz,Almeida,1998-10-18,"Travessa C, 789",+55 21 4988-8235,beatriz.almeida@exemplo.com
17,Maria,Costa,1981-12-05,"Rua A, 123",+55 21 2418-6641,maria.costa@exemplo.com
18,Carlos,Nascimento,1975-10-11,"Avenida B, 456",+55 21 4820-7129,carlos.nascimento@exemplo.com
19,Ana,Costa,1979-04-23,"Rua A, 123",+55 21 2322-4516,ana.costa@exemplo.com
20,Gabriel,Nascimento,1990-06-24,"Avenida B, 456",+55 21 9272-5212,gabriel.nascimento@exemplo.com
21,Maria,Souza,1997-04-15,"Alameda E, 202",+55 21 2406-4386,maria.souza@exemplo.com
22,Paula,Silva,1981-01-20,"Praça D, 101",+55 21 3637-7077,paula.silva@exemplo.com
23,Maria,Oliveira,1983-10-15,"Avenida B, 456",+55 21 4278-7683,maria.oliveira@exemplo.com
24,Mariana,Rodrigues,1998-04-20,"Avenida B, 456",+55 21 9609-1835,mariana.rodrigues@exemplo.com
25,Ana,Almeida,1982-12-03,"Avenida B, 456",+55 21 9304-1061,ana.almeida@exemplo.com
26,Gabriel,Silva,1965-04-23,"Rua A, 123",+55 21 6651-7665,gabriel.silva@exemplo.com
27,Lucas,Lima,1990-09-12,"Praça D, 101",+55 21 7343-4792,lucas.lima@exemplo.com
28,Maria,Costa,1983-07-08,"Travessa C, 789",+55 21 4869-9350,maria.costa@exemplo.com
29,Maria,Nascimento,1980-07-23,"Travessa C, 789",+55 21 5787-8508,maria.nascimento@exemplo.com
30,Lucas,Costa,1989-12-20,"Avenida B, 456",+55 21 1733-6558,lucas.costa@exemplo.com
31,Ana,Oliveira,1967-11-07,"Rua A, 123",+55 21 1016-9619,ana.oliveira@exemplo.com
32,Paula,Oliveira,1977-02-11,"Travessa C, 789",+55 21 4479-3579,paula.oliveira@exemplo.com
33,Carlos,Lima,1990-10-09,"Avenida B, 456",+55 21 3141-8672,carlos.lima@exemplo.com
34,Gabriel,Souza,1986-03-27,"Avenida B, 456",+55 21 7117-7685,gabriel.souza@exemplo.com
35,Beatriz,Nascimento,1960-02-18,"Alameda E, 202",+55 21 9814-7521,beatriz.nascimento@exemplo.com
36,Lucas,Costa,1973-04-07,"Travessa C, 789",+55 21 7661-4285,lucas.costa@exemplo.com
37,Paula,Pereira,1965-01-08,"Praça D, 101",+55 21 5996-8562,paula.pereira@exemplo.com
38,Paula,Silva,1975-01-16,"Avenida B, 456",+55 21 1863-4630,paula.silva@exemplo.com
39,Paula,Almeida,1995-08-01,"Rua A, 123",+55 21 4281-8573,paula.almeida@exemplo.com
40,Pedro,Almeida,1985-06-16,"Alameda E, 202",+55 21 7593-5511,pedro.almeida@exemplo.com
41,Mariana,Souza,1995-03-12,"Avenida B, 456",+55 21 2496-6486,mariana.souza@exemplo.com
42,Mariana,Nascimento,1992-05-01,"Avenida B, 456",+55 21 5385-1848,mariana.nascimento@exemplo.com
43,Lucas,Rodrigues,1964-08-05,"Rua A, 123",+55 21 5666-9997,lucas.rodrigues@exemplo.com
44,João,Rodrigues,1968-02-24,"Travessa C, 789",+55 21 6084-1899,joão.rodrigues@exemplo.com
45,João,Nascimento,1971-06-15,"Rua A, 123",+55 21 3222-4753,joão.nascimento@exemplo.com
46,Lucas,Nascimento,1965-02-16,"Praça D, 101",+55 21 5688-9364,lucas.nascimento@exemplo.com
47,Paula,Silva,1997-06-24,"Alameda E, 202",+55 21 7687-4765,paula.silva@exemplo.com
48,Maria,Oliveira,1976-11-01,"Praça D, 101",+55 21 5345-7892,maria.oliveira@exemplo.com
49,João,Nascimento,1964-04-02,"Alameda E, 202",+55 21 5098-5090,joão.nascimento@exemplo.com
50,Lucas,Nascimento,1978-09-18,"Travessa C, 789",+55 21 8903-9502,lucas.nascimento@exemplo.com
51,João,Pereira,1982-06-07,"Praça D, 101",+55 21 7569-3324,joão.pereira@exemplo.com
52,João,Rodrigues,1984-07-27,"Praça D, 101",+55 21 6253-1972,joão.rodrigues@exemplo.com
53,Carlos,Lima,1989-02-14,"Praça D, 101",+55 21 3344-2355,carlos.lima@exemplo.com
54,Lucas,Pereira,1962-12-22,"Avenida B, 456",+55 21 5069-3159,lucas.pereira@exemplo.com
55,Ana,Silva,1992-07-22,"Avenida B, 456",+55 21 8724-9208,ana.silva@exemplo.com
56,Gabriel,Souza,1975-07-31,"Praça D, 101",+55 21 8479-7305,gabriel.souza@exemplo.com
57,Gabriel,Nascimento,1975-06-26,"Praça D, 101",+55 21 7314-5059,gabriel.nascimento@exemplo.com
58,Gabriel,Almeida,1989-11-04,"Travessa C, 789",+55 21 6269-4404,gabriel.almeida@exemplo.com
59,Beatriz,Almeida,1966-01-23,"Praça D, 101",+55 21 5804-2023,beatriz.almeida@exemplo.com
60,Paula,Nascimento,1988-01-27,"Praça D, 101",+55 21 3467-3804,paula.nascimento@exemplo.com
61,Gabriel,Almeida,1990-12-19,"Avenida B, 456",+55 21 4072-5636,gabriel.almeida@exemplo.com
62,Ana,Pereira,1964-01-23,"Avenida B, 456",+55 21 9869-8295,ana.pereira@exemplo.com
63,Lucas,Oliveira,1999-09-11,"Rua A, 123",+55 21 2424-3400,lucas.oliveira@exemplo.com
64,Maria,Lima,1977-03-22,"Travessa C, 789",+55 21 7864-6504,maria.lima@exemplo.com
65,Gabriel,Souza,1981-12-07,"Praça D, 101",+55 21 1077-7324,gabriel.souza@exemplo.com
66,Paula,Lima,1998-02-03,"Travessa C, 789",+55 21 3732-8705,paula.lima@exemplo.com
67,Ana,Oliveira,1967-08-10,"Avenida B, 456",+55 21 2950-8981,ana.oliveira@exemplo.com
68,Ana,Almeida,1986-08-20,"Praça D, 101",+55 21 4755-9777,ana.almeida@exemplo.com
69,Maria,Silva,1995-12-20,"Alameda E, 202",+55 21 4444-4546,maria.silva@exemplo.com
70,Gabriel,Oliveira,1992-10-24,"Avenida B, 456",+55 21 5802-1524,gabriel.oliveira@exemplo.com
71,Maria,Costa,1963-05-27,"Alameda E, 202",+55 21 3722-8534,maria.costa@exemplo.com
72,Lucas,Souza,1975-04-04,"Praça D, 101",+55 21 4403-9022,lucas.souza@exemplo.com
73,João,Pereira,1962-01-23,"Avenida B, 456",+55 21 3022-5878,joão.pereira@exemplo.com
74,Carlos,Gomes,1992-01-30,"Alameda E, 202",+55 21 2257-3510,carlos.gomes@exemplo.com
75,Maria,Rodrigues,1995-06-01,"Rua A, 123",+55 21 4355-4363,maria.rodrigues@exemplo.com
76,Ana,Souza,1972-07-27,"Rua A, 123",+55 21 2934-6935,ana.souza@exemplo.com
77,Ana,Almeida,1984-05-03,"Alameda E, 202",+55 21 4414-9285,ana.almeida@exemplo.com
78,Paula,Lima,1978-08-28,"Travessa C, 789",+55 21 3169-1793,paula.lima@exemplo.com
79,Gabriel,Nascimento,1999-12-19,"Rua A, 123",+55 21 2321-5075,gabriel.nascimento@exemplo.com
80,Carlos,Lima,1994-09-11,"Rua A, 123",+55 21 4769-8887,carlos.lima@exemplo.com
81,Gabriel,Rodrigues,1986-02-24,"Travessa C, 789",+55 21 1952-5965,gabriel.rodrigues@exemplo.com
82,Carlos,Gomes,1969-03-05,"Praça D, 101",+55 21 3412-2925,carlos.gomes@exemplo.com
83,Maria,Oliveira,1975-03-15,"Praça D, 101",+55 21 7357-1070,maria.oliveira@exemplo.com
84,Gabriel,Costa,1987-01-08,"Rua A, 123",+55 21 5684-1798,gabriel.costa@exemplo.com
85,Mariana,Costa,1971-05-30,"Praça D, 101",+55 21 7238-6186,mariana.costa@exemplo.com
86,Mariana,Rodrigues,1974-06-15,"Praça D, 101",+55 21 8931-2108,mariana.rodrigues@exemplo.com
87,Lucas,Costa,1979-09-21,"Alameda E, 202",+55 21 2562-1919,lucas.costa@exemplo.com
88,Carlos,Souza,1966-12-15,"Praça D, 101",+55 21 2243-8937,carlos.souza@exemplo.com
89,Lucas,Rodrigues,1997-02-18,"Alameda E, 202",+55 21 9922-1029,lucas.rodrigues@exemplo.com
90,Mariana,Rodrigues,1986-03-31,"Avenida B, 456",+55 21 9590-6228,mariana.rodrigues@exemplo.com
91,Pedro,Pereira,1992-06-22,"Praça D, 101",+55 21 5690-1867,pedro.pereira@exemplo.com
92,Pedro,Costa,1973-04-20,"Travessa C, 789",+55 21 6918-6589,pedro.costa@exemplo.com
93,Gabriel,Lima,1968-01-24,"Praça D, 101",+55 21 9805-6421,gabriel.lima@exemplo.com
94,Lucas,Silva,1994-03-05,"Travessa C, 789",+55 21 2712-7153,lucas.silva@exemplo.com
